Address,Latitude,Longitude,Type
5156 Hwy 70 W Morehead City,34.7385,-76.8085997,ChickFilA
1006 Burkemont Ave Morganton,35.721985,-81.6945135,ChickFilA
2007 Rockford St Mount Airy,36.4811309,-80.6145006,ChickFilA
9731 Callabridge Ct Charlotte,35.3268723,-80.9447483,ChickFilA
1601 E Market St Dining Services ,36.074141,-79.7749033,ChickFilA
3000 Dr M L King Jr Blvd New Bern,35.103408,-77.0895757,ChickFilA
2600 Founders Dr Raleigh,35.7877611,-78.6705901,ChickFilA
4154 Main at North Hills St Suite 114 ,35.8369941,-78.6420454,ChickFilA
6801 Northlake Mall Dr Ste FC201 Charlotte,35.352244,-80.8529377,ChickFilA
8411 Northlake Commons Blvd Charlotte,35.3496992,-80.856417,ChickFilA
3389 Oleander Dr Wilmington,34.2172536,-77.9059208,ChickFilA
7107 Okelly Chapel Rd Cary,35.8453997,-78.8873133,ChickFilA
1925 N Peace Haven Rd Winston Salem,36.1177849,-80.3128624,ChickFilA
3343 Sides Branch Rd Winston Salem,36.0313244,-80.2612023,ChickFilA
195 Porters Neck Rd Wilmington,34.3012104,-77.7893242,ChickFilA
2727 Raeford Rd Fayetteville,35.0449973,-78.9238076,ChickFilA
4611 Ramsey St Fayetteville,35.1241151,-78.8801278,ChickFilA
425 Randolph Mall Asheboro,35.702184,-79.786813,ChickFilA
7836 Leonardo Dr Durham,35.9015657,-78.9578359,ChickFilA
104 Residence Inn Blvd Durham,35.9030674,-78.8977562,ChickFilA
14111 Rivergate Pkwy Charlotte,35.1038851,-80.9847547,ChickFilA
280 Premier Blvd Roanoke Rapids,36.4252934,-77.6321562,ChickFilA
3912 N Roxboro St Durham,36.0424182,-78.8993396,ChickFilA
3224 NC Highway 87 S Sanford,35.4456862,-79.1298707,ChickFilA
719 E Dixon Blvd Shelby,35.2745474,-81.5279713,ChickFilA
8661 Six Forks Rd Raleigh,35.8982284,-78.6513761,ChickFilA
1921 Skibo Rd Fayetteville,35.0668774,-78.9663633,ChickFilA
116 Wilkesboro Blvd SE Lenoir,35.9131711,-81.5248894,ChickFilA
1300 N Brightleaf Blvd Smithfield,35.5196812,-78.3101378,ChickFilA
1832 Hendersonville Rd Asheville,35.5051483,-82.5241959,ChickFilA
3015 South Blvd Charlotte,35.1981219,-80.8680471,ChickFilA
1815 US Highway 70 SE Hickory,35.7082652,-81.3079202,ChickFilA
4139 Durham Chapel Hill Blvd Durham,35.967981,-78.9605009,ChickFilA
4120 University Dr Durham,35.9649205,-78.9589958,ChickFilA
10735 S. US Highway 15/501 Southern Pines,35.166014,-79.4240667,ChickFilA
4400 Sharon Rd Charlotte,35.1522311,-80.8318968,ChickFilA
328 E Hanes Mill Rd Winston Salem,36.190322,-80.273691,ChickFilA
228 Turnersburg Hwy Statesville,35.8147578,-80.8761315,ChickFilA
1000 Valleystone Dr Cary,35.790481,-78.8501419,ChickFilA
7910 Rea Rd Charlotte,35.059742,-80.813426,ChickFilA
6910 Fayetteville Rd Ste 246 Durham,35.9050708,-78.9422485,ChickFilA
209 Pisgah Church Rd Greensboro,36.1323761,-79.7923304,ChickFilA
391 Knollwood St Winston Salem,36.0914264,-80.2860725,ChickFilA
902 E Innes St Salisbury,35.6601555,-80.4610074,ChickFilA
6612 Glenwood Ave Raleigh,35.8611599,-78.7086911,ChickFilA
5959 Triangle Town Blvd Spc FC1104 Raleigh,35.866889,-78.5775727,ChickFilA
40 S Tunnel Rd Asheville,35.5810622,-82.5229756,ChickFilA
3020 Evans St Greenville,35.5799469,-77.381653,ChickFilA
1 University Rd Chaviz Student Center ,34.688338,-79.200324,ChickFilA
36 Lenior Hall Chapel Hill,35.91063,-79.048768,ChickFilA
9201 University City Blvd Cone Center ID Office ,35.305383,-80.733155,ChickFilA
516 Stirling St Greensboro,36.0675368,-79.8119018,ChickFilA
601 S College Rd Wilmington,34.2277698,-77.8796689,ChickFilA
1 Medical Dr Beach Cafe,35.90593,-79.051709,ChickFilA
8648 Jw Clay Blvd Charlotte,35.3103521,-80.7522519,ChickFilA
201 S Estes Dr Spc 51 Chapel Hill,35.9278462,-79.0268783,ChickFilA
1960 US Highway 70 SE Ste 2-121 Hickory,35.7037944,-81.3043735,ChickFilA
1239 2nd St NE Hickory,35.7493827,-81.3355151,ChickFilA
11730 Retail Dr Wake Forest,35.9670677,-78.5427726,ChickFilA
Medical Center Blvd Winston Salem,36.110804,-80.3391783,ChickFilA
1834 Wake Forest Dr Benson Food Court Center ,35.96713,-78.5450557,ChickFilA
11530 Waverly Center Dr Charlotte,35.052923,-80.7690053,ChickFilA
411 Colonades Way Cary,35.74043,-78.7768855,ChickFilA
45 Barber Blvd Waynesville,35.5034007,-82.9895295,ChickFilA
1525 W W T Harris Blvd Charlotte,35.3123007,-80.7725704,ChickFilA
1100 Lanada Rd Greensboro,36.0554163,-79.8944523,ChickFilA
6390 Weddington Rd Matthews,35.0004369,-80.6950608,ChickFilA
1405 Western Blvd Jacksonville,34.7878914,-77.4037842,ChickFilA
160 West University Way Courtyard Food Court ,35.3094587,-83.183573,ChickFilA
220 Shenstone Ln Garner,35.6920779,-78.582615,ChickFilA
8032 S Tryon St Charlotte,35.1442221,-80.9294573,ChickFilA
2007 W Us Highway 421 Wilkesboro,36.1492792,-81.2061376,ChickFilA
2407 Forest Hills Rd W Wilson,35.7332104,-77.9529396,ChickFilA
601 S Martin Luther King Jr Dr Donald Julian Reaves Student Center ,36.089044,-80.225365,ChickFilA
4239 Winterville Pkwy Winterville,35.5464126,-77.404255,ChickFilA
