get_directions_url,altTagText,url,longitude,latitude,type,id
https://maps.google.com/?cid=3630826554953122152,"Location at 901 East Cumberland St Dunn, NC",nc/dunn.html,-78.60114,35.302124,main,2492532
https://maps.google.com/?cid=11016839643019665125,"Location at 4831 North Carolina Hwy 55 Durham, NC",nc/durham.html,-78.895839,35.8997888,main,2492492
https://maps.google.com/?cid=4480618191024492726,"Location at 631 S Van Buren Road Eden, NC",nc/eden.html,-79.7403634339571,36.49113896422051,main,2492682
https://maps.google.com/?cid=3508676872828374277,"Location at 807 West Ehringhaus Rd. Elizabeth City, NC",nc/elizabeth-city.html,-76.23176515102386,36.295044560255626,main,2492603
https://maps.google.com/?cid=12091432501952196449,"Location at 3411 Cooperative Way Farmville, NC",nc/farmville.html,-77.60396718978882,35.616771973615116,main,2492695
https://maps.google.com/?cid=16001657866028515614,"Location at 914 Berkley Hall Way Fayetteville, NC",nc/fayetteville.html,-78.971332,35.0967153,main,1389559
https://maps.google.com/?cid=9816981743195928366,"Location at 700 Upward Road Flat Rock, NC",nc/flat-rock.html,-82.4096193,35.2976169,main,2492833
https://maps.google.com/?cid=12574755034440532836,"Location at 127 Sparks Crossing Forest City, NC",nc/forest-city.html,-81.89899384975433,35.33933014021619,main,2492611
https://maps.google.com/?cid=15396576352720434956,"Location at 917 Georgia Road Franklin, NC",nc/franklin.html,-83.3922278881073,35.16246812434624,main,2492711
https://maps.google.com/?cid=3558491949325369812,"Location at 1400 Main St. Fuquay Varina, NC",nc/fuquay-varina.html,-78.77332985401154,35.592242522796354,main,2492518
https://maps.google.com/?cid=15423204377846432973,"Location at 5497 Hwy 42 West Garner, NC",nc/garner.html,-78.56733620166779,35.604612865688985,main,2492543
https://maps.google.com/?cid=14796115697680072590,"Location at 507 N New Hope Rd Gastonia, NC",nc/gastonia.html,-81.14979,35.271001,main,1389616
https://maps.google.com/?cid=4921865349342543905,"Location at 1025 Spence Ave. Goldsboro, NC",nc/goldsboro.html,-77.948112,35.387265,main,2492499
https://maps.google.com/?cid=1760573846804402260,"Location at 804 S Main St Graham, NC",nc/graham.html,-79.399631,36.057957,main,1389552
https://maps.google.com/?cid=12207386244100078798,"Location at 4790 Hickory Blvd Granite Falls, NC",nc/granite-falls.html,-81.39519,35.778548,main,1389627
https://maps.google.com/?cid=9343195614033377092,"Location at 10765 NC 55 Hwy East Grantsboro, NC",nc/grantsboro.html,-76.84446081519127,35.140692508564605,main,2492730
https://maps.google.com/?cid=14290808001245480863,"Location at 514 Hickory Ridge Drive Greensboro, NC",nc/greensboro.html,-79.95984059767574,36.07307269850083,main,1389613
